total_syn,req_size,req_type,topo_size,increment_type
0.5035873,2,simple,small,FALSE
0.5059972,2,simple,small,TRUE
0.52591,2,order,small,FALSE
0.521221,2,order,small,TRUE
0.986199,4,simple,small,FALSE
0.9703642,4,simple,small,TRUE
1.0342815,4,order,small,FALSE
1.0177633,4,order,small,TRUE
1.9780979,8,simple,small,FALSE
1.9301537,8,simple,small,TRUE
2.537127,8,order,small,FALSE
2.07684,8,order,small,TRUE
3.8913688,16,simple,small,FALSE
3.8791775,16,simple,small,TRUE
4.128283,16,order,small,FALSE
4.0920419,16,order,small,TRUE
0.9145739,2,simple,mid,FALSE
0.8797098,2,simple,mid,TRUE
1.0480298,2,order,mid,FALSE
1.0476708,2,order,mid,TRUE
1.8592398,4,simple,mid,FALSE
1.8206471,4,simple,mid,TRUE
2.0532249,4,order,mid,FALSE
2.0424286,4,order,mid,TRUE
3.6671742,8,simple,mid,FALSE
3.6496243,8,simple,mid,TRUE
5.6237153,8,order,mid,FALSE
4.0731537,8,order,mid,TRUE
7.3462267,16,simple,mid,FALSE
7.2175662,16,simple,mid,TRUE
10.1351251,16,order,mid,FALSE
8.1186229,16,order,mid,TRUE
0.8778292,2,simple,mid,FALSE
0.86218,2,simple,mid,TRUE
0.9615854,2,order,mid,FALSE
0.9377177,2,order,mid,TRUE
1.8571717,4,simple,mid,FALSE
1.837158,4,simple,mid,TRUE
1.9375903,4,order,mid,FALSE
1.9294609,4,order,mid,TRUE
3.5628777,8,simple,mid,FALSE
3.5188453,8,simple,mid,TRUE
5.8569925,8,order,mid,FALSE
4.7553488,8,order,mid,TRUE
